epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,256.163,1.05265,0.66228,1.1125,0.90381,0.8572,0.92313,0.64956,1.01301,0.54065,1.06915,3.38642e-05,3.31962e-05,3.31962e-05
2,511.77,1.06413,0.679,1.11685,0.89722,0.84032,0.9101,0.62244,1.0597,0.59221,1.09868,6.68478e-05,6.65131e-05,6.65131e-05
3,767.271,1.08749,0.7097,1.12725,0.86676,0.81319,0.89333,0.58883,1.14074,0.6603,1.14403,9.97657e-05,9.97643e-05,9.97643e-05
4,1023.35,1.12205,0.75661,1.14799,0.84237,0.82329,0.88169,0.57718,1.16307,0.6845,1.15599,9.97781e-05,9.97781e-05,9.97781e-05
5,1279.26,1.12281,0.74835,1.14434,0.83899,0.80051,0.86164,0.54818,1.21802,0.77843,1.193,9.96057e-05,9.96057e-05,9.96057e-05
6,1534.91,1.12743,0.75708,1.14888,0.87154,0.77309,0.86845,0.56262,1.19056,0.72448,1.19958,9.93844e-05,9.93844e-05,9.93844e-05
7,1790.36,1.11647,0.73935,1.14201,0.82017,0.8083,0.86245,0.5525,1.22639,0.73311,1.19313,9.91144e-05,9.91144e-05,9.91144e-05
8,2045.66,1.12356,0.75111,1.14551,0.84315,0.78467,0.86205,0.55099,1.20598,0.77451,1.20036,9.87959e-05,9.87959e-05,9.87959e-05
9,2300.88,1.10833,0.72862,1.13794,0.83609,0.79248,0.86303,0.54833,1.23207,0.72724,1.2209,9.84292e-05,9.84292e-05,9.84292e-05
10,2556.01,1.11466,0.73153,1.13502,0.8557,0.77035,0.86133,0.54475,1.25507,0.76089,1.2331,9.80147e-05,9.80147e-05,9.80147e-05
11,2810.99,1.10846,0.73184,1.13728,0.84461,0.78083,0.85595,0.53653,1.267,0.76627,1.24241,9.75529e-05,9.75529e-05,9.75529e-05
